locatie_code;locatienaam;locaties_locatie_type;locatie_lat_etrs89;locatie_lon_etrs89;grootheid_code;parameter_code;hoedanigheid_code;compartiment_code;eenheid_code;typering_code;biotaxon_code;orgaan_code;samengestelde_klasse_code;bemonsterings_soort_code;bemonsterings_methode_code;bemonsterings_apparaat_code;meetapparaat_code;waardebewerkings_methode_code;waardebepalings_techniek_code;waardebepalings_methode_code;opdrachtgevende_instantie_code;beherende_instantie_code;analyserende_instantie_code;bemonsterende_instantie_code;reeks_type_code;bemonsteringshoogte_code;referentievlak_code;reeks_srid_org;reeks_x_org;reeks_y_org;interval;eventdatum;eventtijd;event_exnum;event_externe_code;event_resultaattijd;event_waarde;event_waarde_limietsymbool;event_waarde_tekst;status_waarde;event_aquocode;inventarisaties_code;inventarisaties_omschrijving;Identitication unique de la station;Unieke identificatie gemeten parameter;ISC_fraction;has_higher_aquocodes;higher_aquocodes_info
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;Cu;nf;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:A4414;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#415LS401'T0001528292#004;2024-01-10 08:45:00.0;3.78;;+.378E+01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1392.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;PO4;Pnf;OW;mg/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;DA;other:I15923_1;RIZAMON_LAN;RIZAIMMCLLSD;EXT.ALWSTDVTR;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#110TA400'T0001528287#002;2024-01-10 08:45:00.0;0.15;;+.150E+00;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1433.0;EF;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;GELDHD;NVT;20oC;OW;mS/m;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:FW015;RIZAMON_LAN;RIZAIMMCLLSD;EXT.AWTSVCSDBH;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#710VP023'T0001528282#003;2024-01-10 08:45:00.0;125.0;;+.125E+03;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1303.0;;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;HH;NVT;CaCO3;OW;mg/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;ICP-MS;other:X116;RIZAMON_LAN;RIZAIMMCLLSD;EXT.HWTLBRTRMHLM;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-10;08:45:00;0;2024001232#410HW100'T0001528288#005;2024-01-10 08:45:00.0;279.0;;+.279E+03;Definitief;3;NVT;Niet van toepassing;NL89_SCHAARVODDL;1345.0;;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;BaA;NVT;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;GC-MS-MS;other:W5424;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-16;13:38:00;0;2024001945#510LC820'T0001536173#010;2024-01-16 13:38:00.0;0.0161;;+.161E-01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1082.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;C2yClprfs;NVT;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;LC-MS-MS;other:A5320;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-16;13:38:00;0;2024001945#510LC320'T0001536176#009;2024-01-16 13:38:00.0;0.0002;<;+.200E-03;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1083.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;alCl;NVT;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;LC-MS-MS;other:A5320;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-16;13:38:00;0;2024001945#510LC320'T0001536176#009;2024-01-16 13:38:00.0;0.0006;<;+.600E-03;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1101.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;aldn;NVT;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;GC-MS-MS;other:W5424;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-16;13:38:00;0;2024001945#510LC820'T0001536173#010;2024-01-16 13:38:00.0;0.0003;<;+.3E-03;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1103.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;atzne;NVT;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;LC-MS-MS;other:A5320;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-16;13:38:00;0;2024001945#510LC320'T0001536176#009;2024-01-16 13:38:00.0;0.00156;;+.156E-02;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1107.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;Ben;NVT;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;NVT;other:I15680;RIZAMON_LAN;RIZAIMMCLLSD;EXT.ALWSTDVTR;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-16;13:38:00;0;2024001945#510TA100'T0001536172#006;2024-01-16 13:38:00.0;0.01;<;+.100E-01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1114.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;BaP;NVT;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;GC-MS-MS;other:W5424;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-16;13:38:00;0;2024001945#510LC820'T0001536173#010;2024-01-16 13:38:00.0;0.0138;;+.138E-01;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1115.0;EB;no;
schaarvanoudendoel;Schaar van Ouden Doel;Point;51350292;4250659;CONCTTE;BkF;NVT;OW;ug/l;NVT;NVT;NVT;NVT;SB;NVT;68;8000;NVT;GC-MS-MS;other:W5424;RIZAMON_LAN;RIZAIMMCLLSD;WDXXWGMLLLSD;EXT.AWTSVCSDBH;TN;-100;WATSGL;28992;75860.0;373890.0;;2024-01-16;13:38:00;0;2024001945#510LC820'T0001536173#010;2024-01-16 13:38:00.0;0.00918;;+.918E-02;Definitief;0;NVT;Niet van toepassing;NL89_SCHAARVODDL;1117.0;EB;no;
