Identitication unique de la station;Date de prélévement;Fraction analysée;Identification unique du paramètre mesuré;Gestion de la Limite de Quantification;Résultat;Identification unique de l'unité;event_aquocode
NL89_SCHAARVODDL;15/02/2024;EB;1115.0;;0.0102;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1117.0;;0.0081;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1118.0;;0.0106;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1119.0;<;0.0004;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1135.0;;0.04;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1140.0;<;0.0007;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1144.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1146.0;;0.000234;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1147.0;<;0.0006;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1148.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1161.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1168.0;<;0.5;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1170.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1172.0;;0.000196;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1173.0;<;0.0002;ug/l;3
NL89_SCHAARVODDL;15/02/2024;EB;1177.0;;0.00545;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1178.0;<;0.0004;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1179.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1181.0;<;0.001;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1191.0;;0.0283;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1197.0;<;6e-05;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1199.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1200.0;<;6e-05;ug/l;0
