;Codes;Omschrijving;Dimensie;Omrekenfactor;Groep;Id;"Begin geldigheid";"Eind geldigheid"
Id-4d3b2dcd-77a9-4f0f-9895-74f63ca6e0d1;pg/m2;"picogram per vierkante meter";M/L2;1E-15;"SI afgeleide eenheid";325;2015-10-31;2100-01-01
Id-47c90ad8-a6f4-4ad9-9c2c-b64e58df3c1a;pmol/mg;"picomol per milligram";N/M;0.000001;"SI afgeleide eenheid";260;2012-12-11;2100-01-01
Id-7b0364d4-c8a6-4087-9bab-d9f0710ea1d9;%;procent;;;Overig;1;2025-11-28;2100-01-01
Id-21af89b1-5d03-4870-81ac-23c83a407a50;‰;promille;;;Overig;160;2011-06-10;2100-01-01
Id-4c7bb045-8e50-48e3-a5cf-0f46f9d73d3e;r;rotatie;;;Overig;356;2020-09-11;2100-01-01
Id-9254a5bd-c0d2-4522-ba1a-2a6753ec10d6;r/min;"rotatie per minuut";;;Overig;357;2020-09-11;2100-01-01
Id-6744ca20-918d-46de-a0c6-51ad7aacade4;s;seconde;T;1;"SI grondeenheid";262;2011-06-10;2100-01-01
Id-2ebfda58-7c03-4084-9b28-afc75a10bfbf;S/m;"siemens per meter";T3I2/L3M;1;"SI afgeleide eenheid";82;2011-06-10;2100-01-01
Id-430c8f0e-4a40-49c8-81f7-95063363b247;TJ;terajoule;L2M/T2;1e+12;"SI afgeleide eenheid";263;2012-12-11;2100-01-01
Id-5ffd6450-cf26-418c-960e-ca3b30ac581c;TJ/d;"terajoule per dag";L2M/T3;11574074.07;"SI afgeleide eenheid";321;2015-07-22;2100-01-01
Id-2c9cb677-86da-43c5-88b3-3faf690ac0d4;TJ/a;"terajoule per jaar";L2M/T3;;"SI afgeleide eenheid";320;2015-07-22;2100-01-01
Id-f6c93746-9f9d-4759-bf79-df859aa1d34e;ton;ton;M;1000;"SI afgeleide eenheid";264;2011-06-10;2100-01-01
Id-8ac9c166-9e57-4b60-80dd-9b64cb994415;ton/d;"ton per dag";M/T;0.01157407;"SI afgeleide eenheid";318;2021-12-10;2100-01-01
