"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd"
4790;"512-56-1";"TC1yPO4";"trimethylfosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4791;"NVT";"TC1ytoSO4";"trimethylthiosulfaat";"ChemischeStof";"2011-06-08";"2011-08-26";"Vervallen";""
4791;"152-18-1";"TC1ytoPO4";"trimethylthiofosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4792;"57213-69-1";"TC2yAeTcpr";"triethylamine-triclopyr";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4793;"77-93-0";"TC2ycitt";"triethylcitraat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4794;"112-24-3";"TC2yeT4Ae";"triethyleentetramine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4795;"77-90-7";"TC4yactcitt";"tributylacetylcitraat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4796;"56-36-0";"TC4ySnactt";"tributyltinacetaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4797;"78-48-8";"TC4yTtoPO4";"tributyltrithiofosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4798;"25103-12-2";"TC8yPO4";"trioctylfosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4799;"250252-89-2";"TC8ySn";"trioctyltin (kation)";"ChemischeStof";"2025-07-17";"2100-01-01";"Geldig";""
48;"142-28-9";"13DClC3a";"1,3-dichloorpropaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
480;"NVT";"sCldn";"som chloordaan (som cis- en trans-)";"ChemischeStof";"2011-06-08";"2011-06-08";"Vervallen";""
480;"NVT";"sCldn";"som chloordaan (som cis- en trans-)";"ChemischeStof";"2024-11-15";"2100-01-01";"Geldig";"Id-962f2cb3-2b7e-8417-9ca5-e190924ce486"
4800;"14808-44-7";"Tc96";"technetium 96";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4801;"15759-35-0";"Tc97";"technetium 97";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4802;"378784-44-2";"Tc97m";"technetium 97m";"ChemischeStof";"2011-06-08";"2014-07-31";"Vervallen";""
4802;"378784-44-2";"Tc97m";"technetium 97m (metastabiel)";"ChemischeStof";"2014-08-01";"2100-01-01";"Geldig";""
4803;"14133-76-7";"Tc99";"technetium 99";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4804;"NVT";"ZAND";"Zand";"Object";"2011-06-08";"2100-01-01";"Geldig";"Id-c0657303-0fe6-4f6b-a8b7-5e2e052b2c8e"
4805;"41814-78-2";"Tcczl";"tricyclazool";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4806;"53720-80-2";"Tcfndne";"trichlofenidine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4807;"12002-48-1";"TClBen";"trichloorbenzeen";"ChemischeStof";"2024-11-29";"2100-01-01";"Geldig";"Id-99eac0eb-dc80-cede-e324-c722bb2ed9f3"
4808;"75-87-6";"TClC2al";"trichloorethanal";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4809;"87-90-1";"TCliCNzr";"trichloorisocyanuurzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4810;"21564-17-0";"TCMTB";"2-(thiocyanomethylthio)benzothiazool";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4811;"64700-56-7";"TcpC4OxC2yEs";"triclopyr-butoxyethylester";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4812;"3380-34-5";"Tcsn";"triclosan";"ChemischeStof";"2012-11-17";"2100-01-01";"Geldig";""
4813;"1330-78-5";"TcsPO4";"tricresylfosfaat";"ChemischeStof";"2012-11-17";"2100-01-01";"Geldig";""
4814;"24602-86-6";"Tdmf";"tridemorf";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4815;"378784-49-7";"Te123m";"tellurium 123m";"ChemischeStof";"2011-06-08";"2014-07-31";"Vervallen";""
4815;"378784-49-7";"Te123m";"tellurium 123m (metastabiel)";"ChemischeStof";"2014-08-01";"2100-01-01";"Geldig";""
4816;"378784-51-1";"Te127m";"tellurium 127m";"ChemischeStof";"2011-06-08";"2014-07-31";"Vervallen";""
4816;"378784-51-1";"Te127m";"tellurium 127m (metastabiel)";"ChemischeStof";"2014-08-01";"2100-01-01";"Geldig";""
4817;"378784-52-2";"Te129m";"tellurium 129m";"ChemischeStof";"2011-06-08";"2014-07-31";"Vervallen";""
4817;"378784-52-2";"Te129m";"tellurium 129m (metastabiel)";"ChemischeStof";"2014-08-01";"2100-01-01";"Geldig";""
4818;"14234-28-7";"Te132";"telluur 132";"ChemischeStof";"2011-06-08";"2014-07-31";"Vervallen";""
4818;"14234-28-7";"Te132";"tellurium 132";"ChemischeStof";"2014-08-01";"2100-01-01";"Geldig";""
4819;"15759-52-1";"Te133";"tellurium 133";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
482;"NVT";"sClFol";"som chloorfenolen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"Id-81652ab5-2c31-43d4-a66e-26de595551e7"
4820;"112410-23-8";"tebfnzde";"tebufenozide";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4821;"119168-77-3";"tebfprd";"tebufenpyrad";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4822;"96182-53-5";"tebprfs";"tebupirimfos";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4823;"35256-85-0";"tebtm";"tebutam";"ChemischeStof";"2012-04-07";"2100-01-01";"Geldig";""
4824;"34014-18-1";"tebturn";"tebuthiuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4825;"79538-32-2";"teftn";"tefluthrin";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4826;"143-24-8";"TEGDME";"tetraethyleenglycoldimethylether";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4827;"NVT";"ZOOPT";"Zooplankton";"BiologischObject";"2011-06-08";"2100-01-01";"Geldig";"Id-d71967d2-fa9c-4daa-8c72-05cef7da5b6e"
4828;"144701-48-4";"telmstn";"telmisartan";"ChemischeStof";"2012-11-17";"2100-01-01";"Geldig";""
4829;"3383-96-8";"temfs";"temefos";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4830;"846-50-4";"temzpm";"temazepam";"ChemischeStof";"2012-05-02";"2100-01-01";"Geldig";""
4831;"149979-41-9";"teplxdm";"tepraloxydim";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4832;"107-49-3";"TEPP";"tetraethylpyrofosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4833;"5902-51-2";"terbcl";"terbacil";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4834;"33693-04-8";"terbmtn";"terbumeton";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4835;"23031-25-6";"terbtlne";"terbutaline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4836;"NVT";"ZOUTHHDG";"Zouthuishouding";"Typering";"2011-06-08";"2100-01-01";"Geldig";""
4837;"25265-77-4";"texanl";"texanol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4838;"75-46-7";"TFC1a";"trifluormethaan (freon 23)";"ChemischeStof";"2011-06-08";"2016-01-05";"Vervallen";""
4838;"75-46-7";"HFK23";"trifluormethaan";"ChemischeStof";"2016-01-07";"2100-01-01";"Geldig";""
4839;"1420-06-0";"Tfmf";"trifenmorf";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
484;"80-33-1";"Clfsn";"chloorfenson";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4840;"64628-44-0";"Tfmrn";"triflumuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4841;"68694-11-1";"Tfmzl";"triflumizool";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4842;"297-99-4";"tfosfmdn";"trans-fosfamidon";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4843;"26644-46-2";"Tfrne";"triforine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4844;"126535-15-7";"TfsfrnC1y";"triflusulfuron-methyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4845;"118712-89-3";"tftn";"transfluthrin";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4846;"141517-21-7";"Tfxsbn";"trifloxystrobin";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4847;"3878-45-3";"TFyffnS";"trifenylfosfinesulfide";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4848;"115-86-6";"TFyPO4";"trifenylfosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4849;"3796-70-1";"tganactn";"trans-geranylaceton";"ChemischeStof";"2011-07-15";"2100-01-01";"Geldig";""
4850;"NVT";"ZS";"Zwevende stof";"Object";"2011-06-08";"2016-01-05";"Vervallen";""
4850;"NVT";"OS";"Onopgeloste stoffen";"Object";"2016-01-07";"2100-01-01";"Geldig";"Id-10f8e385-508a-4b6f-8d06-2b965e8e7309"
4851;"NVT";"ZUURKRTR";"Zuurkarakter";"Typering";"2011-06-08";"2100-01-01";"Geldig";""
4852;"15623-47-9";"Th227";"thorium 227";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4853;"14274-82-9";"Th228";"thorium 228";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4854;"15594-54-4";"Th229";"thorium 229";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4855;"14269-63-7";"Th230";"thorium 230";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4856;"14932-40-2";"Th231";"thorium 231";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4857;"NVT";"Th232";"thorium 232";"ChemischeStof";"2011-06-08";"2011-08-25";"Vervallen";""
4857;"7440-29-1";"Th232";"thorium 232";"ChemischeStof";"2011-08-26";"2100-01-01";"Geldig";""
4858;"15065-10-8";"Th234";"thorium 234";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4859;"NVT";"ZWEMMJK";"Zwemmersjeuk";"Object";"2012-07-21";"2100-01-01";"Geldig";""
4860;"1314-20-1";"ThDO";"thoriumdioxide";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
